item,itemLabel,country_of_citizenshipLabel,linkcount,date_of_birth,place_of_birth,place_of_birthLabel,field_of_workLabel,date_of_death
http://www.wikidata.org/entity/Q291010,Elizabeth Jane Gardner,United States of America,16,1837-10-04T00:00:00Z,http://www.wikidata.org/entity/Q990504,Exeter,,1922-01-28T00:00:00Z
http://www.wikidata.org/entity/Q291500,Emma Andijewska,United States of America,14,1931-03-19T00:00:00Z,http://www.wikidata.org/entity/Q43070,Donetsk,poetry,
http://www.wikidata.org/entity/Q259096,Anchee Min,United States of America,14,1957-01-14T00:00:00Z,http://www.wikidata.org/entity/Q8686,Shanghai,,
http://www.wikidata.org/entity/Q212879,Kim Novak,United States of America,48,1933-02-13T00:00:00Z,http://www.wikidata.org/entity/Q1297,Chicago,,
http://www.wikidata.org/entity/Q264559,Ariana Richards,United States of America,21,1979-09-11T00:00:00Z,http://www.wikidata.org/entity/Q852598,Healdsburg,oil painting,
http://www.wikidata.org/entity/Q229881,Grace Slick,United States of America,36,1939-10-30T00:00:00Z,http://www.wikidata.org/entity/Q576671,Highland Park,musical composition,
http://www.wikidata.org/entity/Q204804,Beth Hart,United States of America,28,1972-01-24T00:00:00Z,http://www.wikidata.org/entity/Q65,Los Angeles,musical composition,
http://www.wikidata.org/entity/Q262510,Lauren Faust,United States of America,25,1974-07-25T00:00:00Z,http://www.wikidata.org/entity/Q28271,Annapolis,,
http://www.wikidata.org/entity/Q229351,Tamara de Lempicka,United States of America,46,1898-05-16T00:00:00Z,http://www.wikidata.org/entity/Q270,Warsaw,art of painting,1980-03-18T00:00:00Z
http://www.wikidata.org/entity/Q261639,Lori Petty,United States of America,22,1963-10-14T00:00:00Z,http://www.wikidata.org/entity/Q186702,Chattanooga,,
http://www.wikidata.org/entity/Q237959,Lee Krasner,United States of America,24,1908-10-27T00:00:00Z,http://www.wikidata.org/entity/Q18419,Brooklyn,,1984-06-19T00:00:00Z
http://www.wikidata.org/entity/Q262284,Barbara Kruger,United States of America,25,1945-01-26T00:00:00Z,http://www.wikidata.org/entity/Q25395,Newark,photography,
http://www.wikidata.org/entity/Q231082,Mary Blair,United States of America,29,1911-10-21T00:00:00Z,http://www.wikidata.org/entity/Q1994656,McAlester,,1978-07-26T00:00:00Z
http://www.wikidata.org/entity/Q212426,Elizabeth Murray,United States of America,7,1940-09-06T00:00:00Z,http://www.wikidata.org/entity/Q1297,Chicago,,2007-08-12T00:00:00Z
http://www.wikidata.org/entity/Q230173,Kari Byron,United States of America,27,1974-12-18T00:00:00Z,http://www.wikidata.org/entity/Q99,California,,
http://www.wikidata.org/entity/Q254663,Hannah Wilke,United States of America,8,1940-03-07T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,1993-01-28T00:00:00Z
http://www.wikidata.org/entity/Q233483,Diamanda Galás,United States of America,21,1955-08-29T00:00:00Z,http://www.wikidata.org/entity/Q16552,San Diego,,
http://www.wikidata.org/entity/Q229351,Tamara de Lempicka,Poland,46,1898-05-16T00:00:00Z,http://www.wikidata.org/entity/Q270,Warsaw,art of painting,1980-03-18T00:00:00Z
http://www.wikidata.org/entity/Q229455,Cindy Sherman,United States of America,34,1954-01-19T00:00:00Z,http://www.wikidata.org/entity/Q1003074,Glen Ridge,photography,
http://www.wikidata.org/entity/Q231841,Meg Cabot,United States of America,30,1967-02-01T00:00:00Z,http://www.wikidata.org/entity/Q490385,Bloomington,,
http://www.wikidata.org/entity/Q260683,Grandma Moses,United States of America,26,1860-09-07T00:00:00Z,http://www.wikidata.org/entity/Q56149,Washington County,,1961-12-13T00:00:00Z
http://www.wikidata.org/entity/Q235281,Helen Frankenthaler,United States of America,24,1928-12-17T00:00:00Z,http://www.wikidata.org/entity/Q60,New York City,,2011-12-27T00:00:00Z
http://www.wikidata.org/entity/Q243117,Hilla von Rebay,United States of America,11,1890-05-31T00:00:00Z,http://www.wikidata.org/entity/Q6602,Strasbourg,,1967-09-27T00:00:00Z
http://www.wikidata.org/entity/Q229455,Cindy Sherman,United States of America,34,1957-01-19T00:00:00Z,http://www.wikidata.org/entity/Q1003074,Glen Ridge,photography,
http://www.wikidata.org/entity/Q235593,Laurel Holloman,United States of America,17,1971-05-23T00:00:00Z,http://www.wikidata.org/entity/Q671812,Chapel Hill,,
http://www.wikidata.org/entity/Q234324,Dorothea Tanning,United States of America,25,1910-08-25T00:00:00Z,http://www.wikidata.org/entity/Q782574,Galesburg,,2012-01-31T00:00:00Z
http://www.wikidata.org/entity/Q117856,Channa Horwitz,United States of America,3,1932-05-21T00:00:00Z,http://www.wikidata.org/entity/Q99,California,,2013-04-29T00:00:00Z
http://www.wikidata.org/entity/Q7531,Louise Nevelson,United States of America,22,1899-09-23T00:00:00Z,http://www.wikidata.org/entity/Q639839,Pereiaslav-Khmelnytskyi,,1988-04-17T00:00:00Z
http://www.wikidata.org/entity/Q173223,Mary Cassatt,United States of America,71,1844-05-22T00:00:00Z,http://www.wikidata.org/entity/Q1752800,Allegheny,art of painting,1926-06-14T00:00:00Z
http://www.wikidata.org/entity/Q117012,Yoko Ono,Japan,78,1933-02-18T00:00:00Z,http://www.wikidata.org/entity/Q1490,Tokyo,,
http://www.wikidata.org/entity/Q531919,Mabel Alvarez,United States of America,8,1891-11-28T00:00:00Z,http://www.wikidata.org/entity/Q131347,Oahu,,1985-03-13T00:00:00Z
http://www.wikidata.org/entity/Q422254,Akiane Kramarik,United States of America,11,1994-07-09T00:00:00Z,http://www.wikidata.org/entity/Q2369711,Mount Morris,poetry,
http://www.wikidata.org/entity/Q532168,Elizabeth Nourse,United States of America,11,1859-10-26T00:00:00Z,http://www.wikidata.org/entity/Q43196,Cincinnati,,1938-10-08T00:00:00Z
http://www.wikidata.org/entity/Q187324,Zelda Fitzgerald,United States of America,35,1900-07-24T00:00:00Z,http://www.wikidata.org/entity/Q29364,Montgomery,poetry,1948-03-10T00:00:00Z
http://www.wikidata.org/entity/Q159409,Louise Bourgeois,United States of America,46,1911-12-25T00:00:00Z,http://www.wikidata.org/entity/Q90,Paris,art of sculpture,2010-05-31T00:00:00Z
