name,name_2,wiki,url,edit_count,characters_added,references_added,new,deleted,pageviews,pageviews_link,course_slug,,,,,,,,title,,,,,
Zainub Verjee   ,Zainub Verjee,en.wikipedia.org,https://en.wikipedia.org/wiki/Zainub_Verjee,2,3421,3421,TRUE,FALSE,68,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-09&end=2099-01-01&project=en.wikipedia.org&pages=Zainub_Verjee,Belkin_Western_Front/Vancouver_ArtAndFeminism_2018_(March_2018),,,,,,,,Abigail,Satinsky,,,,
Zainab Salbi   ,Zainab Salbi,en.wikipedia.org,https://en.wikipedia.org/wiki/Zainab_Salbi,3,1439,1439,FALSE,FALSE,2119,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Zainab_Salbi,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Abike,Dabiri,,,,
Zahra Airall   ,Zahra Airall,en.wikipedia.org,https://en.wikipedia.org/wiki/Zahra_Airall,2,1062,1062,FALSE,FALSE,102,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-26&end=2099-01-01&project=en.wikipedia.org&pages=Zahra_Airall,Binghamton_University/Binghamton_University_ArtAndFeminism_2018,,,,,,,,Ada,Gladys,Killins,,,
Zac Brewer   ,Zac Brewer,en.wikipedia.org,https://en.wikipedia.org/wiki/Zac_Brewer,1,806,806,FALSE,FALSE,724,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-28&end=2099-01-01&project=en.wikipedia.org&pages=Zac_Brewer,SU/Spalding_AF18,,,,,,,,Adaobi,Tricia,Nwaubani,,,
Yvonne Rainer   ,Yvonne Rainer,en.wikipedia.org,https://en.wikipedia.org/wiki/Yvonne_Rainer,2,34,-36,FALSE,FALSE,29065,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-04&end=2099-01-01&project=en.wikipedia.org&pages=Yvonne_Rainer,Kickstarter/Kickstarter_ArtandFeminism_2018,,,,,,,,Adaora,Lily,Ulasi,,,
Yvonne Porcella   ,Yvonne Porcella,en.wikipedia.org,https://en.wikipedia.org/wiki/Yvonne_Porcella,1,539,539,FALSE,FALSE,39,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-17&end=2099-01-01&project=en.wikipedia.org&pages=Yvonne_Porcella,Bard_Graduate_Center/Bard_Graduate_Center_ArtandFeminism_2018,,,,,,,,Adebisi,Akanji,,,,
Yvonne Nelson   ,Yvonne Nelson,en.wikipedia.org,https://en.wikipedia.org/wiki/Yvonne_Nelson,2,683,683,FALSE,FALSE,55188,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Yvonne_Nelson,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Adeela,Suleman,,,,
Yves Bonnefoy   ,Yves Bonnefoy,en.wikipedia.org,https://en.wikipedia.org/wiki/Yves_Bonnefoy,3,0,-38,FALSE,FALSE,639,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Yves_Bonnefoy,MIT/Art_and_Feminism_Wikipedia_Edit-a-thon,,,,,,,,Adele,M.,Fielde,,,
Yutaka Kyan   ,Yutaka Kyan,en.wikipedia.org,https://en.wikipedia.org/wiki/Yutaka_Kyan,3,24,3,FALSE,FALSE,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Yutaka_Kyan,OJM/AF_Oregon_Jewish_Museum,,,,,,,,Adele,Wiseman,,,,
Yuan Jai   ,Yuan Jai,en.wikipedia.org,https://en.wikipedia.org/wiki/Yuan_Jai,5,6878,6865,TRUE,FALSE,21,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Yuan_Jai,AAA_and_Mplus/Wikipedia_Edit-a-thon_on_Women_Artists_and_Practitioners_in_Asia,,,,,,,,Adele-Anais,Colin,Toudouze,,,
