name,name_2,wiki,url,edit_count,characters_added,references_added,new,deleted,pageviews,pageviews_link,course_slug,,,,,,,,title,,,,,
Suzanne Valadon   ,Suzanne Valadon,en.wikipedia.org,https://en.wikipedia.org/wiki/Suzanne_Valadon,4,693,693,FALSE,FALSE,4527,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-08&end=2099-01-01&project=en.wikipedia.org&pages=Suzanne_Valadon,Midway/Minneapolis_Midway_ArtandFeminism2018,,,,,,,,Anne,Bonny,,,,
Suzanne Miles   ,Suzanne Miles,en.wikipedia.org,https://en.wikipedia.org/wiki/Suzanne_Miles,4,1531,1531,FALSE,FALSE,492,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Suzanne_Miles,Transylvania_University/Transylvania_Liberal_Arts_and_Feminism,,,,,,,,Anne,Boyer,,,,
Suzanne Jackson (artist)  ,Suzanne Jackson (artist),en.wikipedia.org,https://en.wikipedia.org/wiki/Suzanne_Jackson_(artist),2,2084,2084,FALSE,FALSE,1470,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Suzanne_Jackson_(artist),NAU/Flagstaff_NAU_Cline_Library_ArtAndFeminism2018,,,,,,,,Anne,Churchland,,,,
Sussan Ley   ,Sussan Ley,en.wikipedia.org,https://en.wikipedia.org/wiki/Sussan_Ley,2,1,-3,FALSE,FALSE,1493,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Sussan_Ley,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Anne,Ferran,,,,
Sushila Karki   ,Sushila Karki,en.wikipedia.org,https://en.wikipedia.org/wiki/Sushila_Karki,2,13,11,FALSE,FALSE,235,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-23&end=2099-01-01&project=en.wikipedia.org&pages=Sushila_Karki,Penn/Philadelphia_Fisher_ArtandFeminism_2018,,,,,,,,Anne,Frances,Byrne,,,
Sushi Nakazawa   ,Sushi Nakazawa,en.wikipedia.org,https://en.wikipedia.org/wiki/Sushi_Nakazawa,1,27,27,FALSE,FALSE,1381,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-06-02&end=2099-01-01&project=en.wikipedia.org&pages=Sushi_Nakazawa,Caveat/500_Women_Scientists,,,,,,,,Anne,Hardy,,,,
Susan Unterberg   ,Susan Unterberg,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Unterberg,8,576,51,FALSE,FALSE,1395,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-07-20&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Unterberg,Moscow_Museum_of_Modern_Art/This_Site_is_Under_Revolution,,,,,,,,Anne,Imhof,,,,
Susan Sontag   ,Susan Sontag,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Sontag,1,276,276,FALSE,FALSE,28647,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Sontag,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Anne,Kahane,,,,
Susan Skoog   ,Susan Skoog,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Skoog,3,1862,1862,TRUE,FALSE,36,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-25&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Skoog,LACMA/Los_Angeles_LACMA_ArtAndFeminism_2018,,,,,,,,Anne,Langton,,,,
Susan Seydel Cofer  ,Susan Seydel Cofer,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Seydel_Cofer,3,1263,1263,TRUE,FALSE,96,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-28&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Seydel_Cofer,HU/Roanoke_HU_ArtAndFeminism2018,,,,,,,,Anne,Marie,Schleiner,,,
Susan Peters   ,Susan Peters,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Peters,1,72,72,FALSE,FALSE,7294,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Peters,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Anne,Noggle,,,,
Susan McEachern   ,Susan McEachern,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_McEachern,1,734,734,FALSE,FALSE,25,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-24&end=2099-01-01&project=en.wikipedia.org&pages=Susan_McEachern,"Art_Gallery_of_Ontario/Toronto_AGO_Art_and_Feminism_2018_(March_24,_2018)",,,,,,,,Anne,Pasternak,,,,
Susan Langstaff Mitchell  ,Susan Langstaff Mitchell,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Langstaff_Mitchell,5,4228,3298,FALSE,FALSE,41,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-08&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Langstaff_Mitchell,National_Gallery_of_Ireland/Art_and_Feminism_(2018),,,,,,,,Anne,Poulet,,,,
Susan Kare   ,Susan Kare,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Kare,1,279,279,FALSE,FALSE,55382,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Kare,Purchase/Purchase_ArtandFeminism_2018,,,,,,,,Anne,Ramsden,,,,
Susan Johnson (actress)  ,Susan Johnson (actress),en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Johnson_(actress),1,1439,1439,FALSE,FALSE,275,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-06&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Johnson_(actress),Wikipedia_Connection/Art_and_Feminism_2018_at_Ohio_State,,,,,,,,Anne,Sexton,,,,
Susan Hoffman   ,Susan Hoffman,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Hoffman,9,3400,3326,TRUE,FALSE,58,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2019-03-01&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Hoffman,University_of_Virginia/Art_Fem_UVA,,,,,,,,Anne,Tanqueray,,,,
Susan E. King  ,Susan E. King,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_E._King,1,529,529,FALSE,FALSE,58,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-01&end=2099-01-01&project=en.wikipedia.org&pages=Susan_E._King,"University_at_Albany,_SUNY--University_Library/University_at_Albany_ArtAndFeminism_2018_(April_9_2018)",,,,,,,,Anne,Tyng,,,,
Susan Dobson   ,Susan Dobson,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Dobson,1,3378,3378,FALSE,FALSE,47,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-24&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Dobson,"Art_Gallery_of_Ontario/Toronto_AGO_Art_and_Feminism_2018_(March_24,_2018)",,,,,,,,Anne-Imelda,Radice,,,,
Susan Cofer   ,Susan Cofer,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Cofer,1,78,78,TRUE,FALSE,6,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-28&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Cofer,HU/Roanoke_HU_ArtAndFeminism2018,,,,,,,,Annette,Barbier,,,,
Susan Cianciolo   ,Susan Cianciolo,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Cianciolo,4,2531,2531,FALSE,FALSE,150,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-01-18&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Cianciolo,Montana_State_University/Bozeman_ArtAndFeminism_2018,,,,,,,,Annette,Kelm,,,,
Susan Buck-Morss   ,Susan Buck-Morss,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Buck-Morss,3,2451,2451,FALSE,FALSE,1548,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-01&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Buck-Morss,Cornell_University/Ithaca_Art_and_Feminism_2018,,,,,,,,Anni,Albers,,,,
Susan Boyle   ,Susan Boyle,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Boyle,1,553,553,FALSE,FALSE,87569,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Boyle,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Annie,Bonza,,,,
Susan Bee   ,Susan Bee,en.wikipedia.org,https://en.wikipedia.org/wiki/Susan_Bee,1,0,-6,FALSE,FALSE,245,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Susan_Bee,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Annie,Briard,,,,
Sunayani Devi   ,Sunayani Devi,en.wikipedia.org,https://en.wikipedia.org/wiki/Sunayani_Devi,11,4928,4772,TRUE,FALSE,3395,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Sunayani_Devi,KNMA/Delhi_ArtAndFeminism_2018,,,,,,,,Annie,Chu,,,,
Sun Yung Shin  ,Sun Yung Shin,en.wikipedia.org,https://en.wikipedia.org/wiki/Sun_Yung_Shin,2,263,96,FALSE,FALSE,2899,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-02&end=2099-01-01&project=en.wikipedia.org&pages=Sun_Yung_Shin,MoMA/MoMA_ArtAndFeminism_2018,,,,,,,,Annie,Easley,,,,
Suellen Rocca   ,Suellen Rocca,en.wikipedia.org,https://en.wikipedia.org/wiki/Suellen_Rocca,1,1126,1126,FALSE,FALSE,2101,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-02&end=2099-01-01&project=en.wikipedia.org&pages=Suellen_Rocca,MoMA/MoMA_ArtAndFeminism_2018,,,,,,,,Annie,Leibovitz,,,,
Sue Williams (artist)  ,Sue Williams (artist),en.wikipedia.org,https://en.wikipedia.org/wiki/Sue_Williams_(artist),1,588,588,FALSE,FALSE,284,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Sue_Williams_(artist),Mills_College_Art_Museum/Art_and_Feminism_Wikipedia_edit-a-thon,,,,,,,,Annie,Pootoogook,,,,
Sue de Beer  ,Sue de Beer,en.wikipedia.org,https://en.wikipedia.org/wiki/Sue_de_Beer,1,331,331,FALSE,FALSE,109,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Sue_de_Beer,UNC-CH/UNC_Sloane_ArtAndFeminism_2018,,,,,,,,Annie,Stebler-Hopf,,,,
Sudan Military Railroad  ,Sudan Military Railroad,en.wikipedia.org,https://en.wikipedia.org/wiki/Sudan_Military_Railroad,1,8,8,FALSE,FALSE,221,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-06-02&end=2099-01-01&project=en.wikipedia.org&pages=Sudan_Military_Railroad,Caveat/500_Women_Scientists,,,,,,,,Annie,Wu,(businesswoman),,,
Substellar object   ,Substellar object,en.wikipedia.org,https://en.wikipedia.org/wiki/Substellar_object,1,32,32,FALSE,FALSE,708,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-02-03&end=2099-01-01&project=en.wikipedia.org&pages=Substellar_object,Nathan_Cummings_Foundation/Truth-a-Thon,,,,,,,,Annika,Connor,,,,
Suad al-Attar   ,Suad al-Attar,en.wikipedia.org,https://en.wikipedia.org/wiki/Suad_al-Attar,1,451,451,FALSE,FALSE,106,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-29&end=2099-01-01&project=en.wikipedia.org&pages=Suad_al-Attar,University_of_North_Texas/UNT_Art_and_Feminism,,,,,,,,Anthony,Barboza,,,,
Steve Locke   ,Steve Locke,en.wikipedia.org,https://en.wikipedia.org/wiki/Steve_Locke,2,1276,1276,FALSE,FALSE,58,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Steve_Locke,MIT/Art_and_Feminism_Wikipedia_Edit-a-thon,,,,,,,,Anthony,J.,DePace,,,
Stephanie Young (poet)  ,Stephanie Young (poet),en.wikipedia.org,https://en.wikipedia.org/wiki/Stephanie_Young_(poet),5,5204,5196,TRUE,FALSE,1515,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Stephanie_Young_(poet),Mills_College_Art_Museum/Art_and_Feminism_Wikipedia_edit-a-thon,,,,,,,,Antigua,and,Barbuda,,,
Stephanie Syjuco   ,Stephanie Syjuco,en.wikipedia.org,https://en.wikipedia.org/wiki/Stephanie_Syjuco,1,1116,1116,FALSE,FALSE,1751,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-07-20&end=2099-01-01&project=en.wikipedia.org&pages=Stephanie_Syjuco,Moscow_Museum_of_Modern_Art/This_Site_is_Under_Revolution,,,,,,,,Antoine,Camilleri,(artist),,,
Stephanie Pogue   ,Stephanie Pogue,en.wikipedia.org,https://en.wikipedia.org/wiki/Stephanie_Pogue,1,26,26,FALSE,FALSE,422,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-02-03&end=2099-01-01&project=en.wikipedia.org&pages=Stephanie_Pogue,Nathan_Cummings_Foundation/Truth-a-Thon,,,,,,,,Antonieta,Figueroa,,,,
Stephanie Okereke Linus  ,Stephanie Okereke Linus,en.wikipedia.org,https://en.wikipedia.org/wiki/Stephanie_Okereke_Linus,1,0,0,FALSE,FALSE,3258,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Stephanie_Okereke_Linus,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,Antonine,Maillet,,,,
Stephanie Brody-Lederman   ,Stephanie Brody-Lederman,en.wikipedia.org,https://en.wikipedia.org/wiki/Stephanie_Brody-Lederman,1,219,219,FALSE,FALSE,35,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Stephanie_Brody-Lederman,UNC-CH/UNC_Sloane_ArtAndFeminism_2018,,,,,,,,Anuradha,Vikram,,,,
Steffani Jemison   ,Steffani Jemison,en.wikipedia.org,https://en.wikipedia.org/wiki/Steffani_Jemison,2,247,247,FALSE,FALSE,1224,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Steffani_Jemison,Triangle_Arts_Association/BLT_hosts_Art_and_Feminism_2018_at_Triangle,,,,,,,,April,Greiman,,,,
Stefania Malmsten   ,Stefania Malmsten,en.wikipedia.org,https://en.wikipedia.org/wiki/Stefania_Malmsten,2,2717,2715,TRUE,FALSE,34,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Stefania_Malmsten,Purchase/Purchase_ArtandFeminism_2018,,,,,,,,April,Hickox,,,,
Stacy Levy   ,Stacy Levy,en.wikipedia.org,https://en.wikipedia.org/wiki/Stacy_Levy,1,21,21,FALSE,FALSE,194,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Stacy_Levy,Transylvania_University/Transylvania_Liberal_Arts_and_Feminism,,,,,,,,Aram,Han,Sifuentes,,,
Sougwen Chung   ,Sougwen Chung,en.wikipedia.org,https://en.wikipedia.org/wiki/Sougwen_Chung,4,4212,4212,FALSE,FALSE,124,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-04&end=2099-01-01&project=en.wikipedia.org&pages=Sougwen_Chung,Kickstarter/Kickstarter_ArtandFeminism_2018,,,,,,,,Aram,Sifuentes,,,,
Soto    ,Soto,en.wikipedia.org,https://en.wikipedia.org/wiki/Soto,1,62,62,FALSE,FALSE,1572,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-26&end=2099-01-01&project=en.wikipedia.org&pages=Soto,Binghamton_University/Binghamton_University_ArtAndFeminism_2018,,,,,,,,Araya,Rasdjarmrearnsook,,,,
Sophie Blackall   ,Sophie Blackall,en.wikipedia.org,https://en.wikipedia.org/wiki/Sophie_Blackall,1,3622,3622,FALSE,FALSE,269,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-29&end=2099-01-01&project=en.wikipedia.org&pages=Sophie_Blackall,Emory_University/Atlanta_Emory_ArtandFeminism_2018,,,,,,,,Ari,Zoldan,,,,
Sophia Healy   ,Sophia Healy,en.wikipedia.org,https://en.wikipedia.org/wiki/Sophia_Healy,1,428,428,TRUE,TRUE,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-01&end=2099-01-01&project=en.wikipedia.org&pages=Sophia_Healy,William_and_Mary_Libraries/Art_and_Feminism_Wikipedia_Edit-a-thon_(April_10th-11th),,,,,,,,Ariane,Laroux,,,,
Soo Kim   ,Soo Kim,en.wikipedia.org,https://en.wikipedia.org/wiki/Soo_Kim,2,96,0,FALSE,FALSE,2323,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-15&end=2099-01-01&project=en.wikipedia.org&pages=Soo_Kim,OtisCollege/LA_OtisCollege_ArtAndFeminism_2018,,,,,,,,Arielle,Greenberg,,,,
Sonya Clark   ,Sonya Clark,en.wikipedia.org,https://en.wikipedia.org/wiki/Sonya_Clark,3,3796,3796,FALSE,FALSE,879,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Sonya_Clark,Transylvania_University/Transylvania_Liberal_Arts_and_Feminism,,,,,,,,Ariko,Inaoka,,,,
Sonia Guiñansaca   ,Sonia Guiñansaca,en.wikipedia.org,https://en.wikipedia.org/wiki/Sonia_Guiñansaca,8,3010,2708,TRUE,FALSE,623,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-25&end=2099-01-01&project=en.wikipedia.org&pages=Sonia_Guiñansaca,Carnegie_Museum_of_Art/Art_and_Feminism_Pittsburgh,,,,,,,,Arisa,White,,,,
Sonia Boyce   ,Sonia Boyce,en.wikipedia.org,https://en.wikipedia.org/wiki/Sonia_Boyce,2,896,896,FALSE,FALSE,9814,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-07&end=2099-01-01&project=en.wikipedia.org&pages=Sonia_Boyce,ARLIS_UKandIreland/London_ARLIS_ArtAndFeminism_2018,,,,,,,,Arlen,Siu,,,,
Sonia Boileau   ,Sonia Boileau,en.wikipedia.org,https://en.wikipedia.org/wiki/Sonia_Boileau,4,1481,1481,FALSE,FALSE,113,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-13&end=2099-01-01&project=en.wikipedia.org&pages=Sonia_Boileau,Algoma_University/Algoma_Art_and_Feminism,,,,,,,,Arlene,Shechet,,,,
Sondra Perry   ,Sondra Perry,en.wikipedia.org,https://en.wikipedia.org/wiki/Sondra_Perry,1,246,246,FALSE,FALSE,5646,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-04&end=2099-01-01&project=en.wikipedia.org&pages=Sondra_Perry,Kickstarter/Kickstarter_ArtandFeminism_2018,,,,,,,,Arlene,Textaqueen,,,,
Solange Knopf   ,Solange Knopf,en.wikipedia.org,https://en.wikipedia.org/wiki/Solange_Knopf,1,320,320,FALSE,FALSE,56,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-26&end=2099-01-01&project=en.wikipedia.org&pages=Solange_Knopf,University_of_Minnesota/U_of_M_Libraries_ArtAndFeminism_2018,,,,,,,,Arnold,Drury,,,,
Sokari Douglas Camp  ,Sokari Douglas Camp,en.wikipedia.org,https://en.wikipedia.org/wiki/Sokari_Douglas_Camp,1,1121,1121,FALSE,FALSE,1436,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-02&end=2099-01-01&project=en.wikipedia.org&pages=Sokari_Douglas_Camp,MoMA/MoMA_ArtAndFeminism_2018,,,,,,,,Arondizuogu,,,,,
Sofia Kovalevskaya   ,Sofia Kovalevskaya,en.wikipedia.org,https://en.wikipedia.org/wiki/Sofia_Kovalevskaya,1,349,349,FALSE,FALSE,5079,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-20&end=2099-01-01&project=en.wikipedia.org&pages=Sofia_Kovalevskaya,Virginia_Polytechnic_Institute_and_State_University/Architecture_and_Art_and_Feminism_Wiki_Edit-a-thon,,,,,,,,Arpita,Singh,,,,
Soacha    ,Soacha,en.wikipedia.org,https://en.wikipedia.org/wiki/Soacha,1,455,455,FALSE,FALSE,954,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-22&end=2099-01-01&project=en.wikipedia.org&pages=Soacha,CUNY_Borough_of_Manhattan_Community_College/BMCC_Women's_Herstory_Month,,,,,,,,Asha,de,Vos,,,
Sky Ferreira   ,Sky Ferreira,en.wikipedia.org,https://en.wikipedia.org/wiki/Sky_Ferreira,1,4,4,FALSE,FALSE,21352,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-29&end=2099-01-01&project=en.wikipedia.org&pages=Sky_Ferreira,University_of_North_Texas/UNT_Art_and_Feminism,,,,,,,,Ashwani,Mahajan,,,,
Skuja Braden   ,Skuja Braden,en.wikipedia.org,https://en.wikipedia.org/wiki/Skuja_Braden,1,422,422,FALSE,FALSE,63,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-13&end=2099-01-01&project=en.wikipedia.org&pages=Skuja_Braden,University_of_Oregon/UOregon_ArtAndFeminism_2018,,,,,,,,Astrid,Stavro,,,,
Skeena Reece   ,Skeena Reece,en.wikipedia.org,https://en.wikipedia.org/wiki/Skeena_Reece,5,9274,9274,TRUE,FALSE,141,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-09&end=2099-01-01&project=en.wikipedia.org&pages=Skeena_Reece,Belkin_Western_Front/Vancouver_ArtAndFeminism_2018_(March_2018),,,,,,,,Athi-Patra,Ruga,,,,
Skawennati    ,Skawennati,en.wikipedia.org,https://en.wikipedia.org/wiki/Skawennati,1,477,477,FALSE,FALSE,3819,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-24&end=2099-01-01&project=en.wikipedia.org&pages=Skawennati,Hackforge/Windsor_ArtAndFeminism_2018,,,,,,,,Ato,Malinda,,,,
Sister Ping   ,Sister Ping,en.wikipedia.org,https://en.wikipedia.org/wiki/Sister_Ping,3,390,382,FALSE,FALSE,2161,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-25&end=2099-01-01&project=en.wikipedia.org&pages=Sister_Ping,Museum_of_the_City_of_New_York/Beyond_Suffrage_Wikipedia_Edit-a-thon,,,,,,,,Atta,Kwami,,,,
Sin Saimdang   ,Sin Saimdang,en.wikipedia.org,https://en.wikipedia.org/wiki/Sin_Saimdang,2,150,150,FALSE,FALSE,7637,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-01&end=2099-01-01&project=en.wikipedia.org&pages=Sin_Saimdang,George_Mason_University/DC_GMU_ArtandFeminism_(2018),,,,,,,,Au,Hoi,Lam,,,
Simone Mary Bouchard  ,Simone Mary Bouchard,en.wikipedia.org,https://en.wikipedia.org/wiki/Simone_Mary_Bouchard,1,304,304,FALSE,FALSE,46,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-17&end=2099-01-01&project=en.wikipedia.org&pages=Simone_Mary_Bouchard,National_Museum_of_Women_in_the_Arts/DC_NMWA_ArtAndFeminism_2018,,,,,,,,Audre,Vysniauskas,,,,
Simone Leigh   ,Simone Leigh,en.wikipedia.org,https://en.wikipedia.org/wiki/Simone_Leigh,4,1188,1114,FALSE,FALSE,13210,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Simone_Leigh,Triangle_Arts_Association/BLT_hosts_Art_and_Feminism_2018_at_Triangle,,,,,,,,Audrey,Tang,,,,
Simone Forti   ,Simone Forti,en.wikipedia.org,https://en.wikipedia.org/wiki/Simone_Forti,1,113,113,FALSE,FALSE,10734,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-04&end=2099-01-01&project=en.wikipedia.org&pages=Simone_Forti,Kickstarter/Kickstarter_ArtandFeminism_2018,,,,,,,,Augusta,Savage,,,,
Simone Browne   ,Simone Browne,en.wikipedia.org,https://en.wikipedia.org/wiki/Simone_Browne,2,3082,3082,TRUE,FALSE,2144,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-13&end=2099-01-01&project=en.wikipedia.org&pages=Simone_Browne,University_of_Oregon/UOregon_ArtAndFeminism_2018,,,,,,,,Avantika,Bawa,,,,
Silvia Levenson   ,Silvia Levenson,en.wikipedia.org,https://en.wikipedia.org/wiki/Silvia_Levenson,5,2003,1951,TRUE,FALSE,712,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Silvia_Levenson,Corning_Museum_of_Glass/Corning_ArtAndFeminism_2018,,,,,,,,Avis,Higgs,,,,
Signe Pierce   ,Signe Pierce,en.wikipedia.org,https://en.wikipedia.org/wiki/Signe_Pierce,1,576,576,FALSE,FALSE,422,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-10&end=2099-01-01&project=en.wikipedia.org&pages=Signe_Pierce,Purchase/Purchase_ArtandFeminism_2018,,,,,,,,Aviva,Rahmani,,,,
Sid Lee   ,Sid Lee,en.wikipedia.org,https://en.wikipedia.org/wiki/Sid_Lee,1,0,-172,FALSE,FALSE,842,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-02-03&end=2099-01-01&project=en.wikipedia.org&pages=Sid_Lee,Nathan_Cummings_Foundation/Truth-a-Thon,,,,,,,,Axeltree,,,,,
Sichenzia Ross Ference Kesner ,Sichenzia Ross Ference Kesner,en.wikipedia.org,https://en.wikipedia.org/wiki/Sichenzia_Ross_Ference_Kesner,1,460,460,FALSE,TRUE,39,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-02-12&end=2099-01-01&project=en.wikipedia.org&pages=Sichenzia_Ross_Ference_Kesner,Metropolitan_Museum/Met_Wikidata,,,,,,,,Aya,Kanno,,,,
