title,infobox,length,wikilinks,editorcount,pageID,aveviews,categories
Donna Strickland,"{'name': 'Donna Strickland', 'image': 'Donna Strickland EM1B5760 (46183560632) (cropped).jpg', 'alt': 'Strickland during Nobel press conference in Stockholm, December 2018', 'birth_name': 'Donna Theo Strickland', 'birth_date': '{{birth date and age|df|=|y|1959|5|27}}', 'birth_place': '[[Guelph]], [[Ontario]], Canada', 'education': '{{unbulleted list|[[McMaster University]] |small|([[Bachelor of Engineering|BEng]])|[[University of Rochester]] |small|([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])}} {{small|([[Bachelor of Engineering|BEng]])}} {{small|([[Master of Science|MS]], [[Doctor of Philosophy|PhD]])}}', 'known_for': '{{unbulleted list|Intense laser-matter interactions|[[Nonlinear optics]]|Short-pulse intense laser systems|[[Chirped pulse amplification]]|[[Ultrafast optics]]}}', 'spouse': 'Doug Dykaar', 'children': '2', 'awards': '{{unbulleted list|[[Alfred P. Sloan Research Fellowship]] |small|(1998)|[[OSA Fellow|Fellow of the Optical Society]] |small|(2008)|[[Nobel Prize in Physics]] |small|(2018)}} {{small|(1998)}} {{small|(2008)}} {{small|(2018)}}', 'fields': '{{unbulleted list|[[Physics]]|[[Optics]]|[[Lasers]]}}', 'workplaces': '[[University of Waterloo]]', 'thesis_title': 'Development of an ultra-bright laser and an application to multi-photon ionization', 'thesis_url': 'https://web.archive.org/web/20130707150743/http://www.lle.rochester.edu/media/publications/documents/theses/Strickland.pdf', 'thesis_year': '1988', 'doctoral_advisor': '[[Gérard Mourou]]', 'website': '{{URL|https://uwaterloo.ca/physics-astronomy/people-profiles/donna-strickland|University website}}'}",20519,"['100 Women (BBC)', '2018 Nobel Peace Prize', 'Aage Bohr', 'Abdus Salam', 'Adam Riess', 'Albert A. Michelson', 'Albert Einstein', 'Albert Fert', 'Alexander Prokhorov', 'Alexei Alexeyevich Abrikosov', 'Alfred Kastler', 'Alfred P. Sloan Foundation', 'Alfred P. Sloan Research Fellowship', 'Andre Geim', 'Anthony James Leggett', 'Antony Hewish', 'Arno Allan Penzias', 'Arthur Ashkin', 'Arthur B. McDonald', 'Arthur Compton', 'Arthur Leonard Schawlow', 'Assistant professor', 'Astrophysics', 'BBC News', 'Bachelor of Engineering', 'Barry Barish', 'Ben Roy Mottelson', 'Bertram Brockhouse', 'Brian Josephson', 'Brian Schmidt', 'Burton Richter', 'C. F. Powell', 'C. V. Raman', 'Canadian Association of Physicists', 'Carl David Anderson', 'Carl Wieman', 'Carlo Rubbia', 'Charles Glover Barkla', 'Charles H. Townes', 'Charles K. Kao', 'Charles Thomson Rees Wilson', 'Charles Édouard Guillaume', 'Chirped pulse amplification', 'CiteSeerX', 'Claude Cohen-Tannoudji', 'Clifford Shull', 'Clinton Davisson', 'Daniel C. Tsui', 'David Gross', 'David J. Thouless', 'David J. Wineland', 'David Lee (physicist)', 'Denis Mukwege', 'Dennis Gabor', 'Didier Queloz', 'Digital object identifier', 'Doctor of Philosophy', 'Doctoral advisor', 'Donald A. Glaser', 'Douglas Osheroff', 'Duncan Haldane', 'Edward Mills Purcell', 'Edward Victor Appleton', 'Electro-optics', 'Emilio Segrè', 'Engineering physics', 'Enrico Fermi', 'Eric Allin Cornell', 'Ernest Lawrence', 'Ernest Walton', 'Ernst Ruska', 'Erwin Schrödinger', 'Eugene Wigner', 'Felix Bloch', 'Fortune (magazine)', 'Frances Arnold', 'Frank Wilczek', 'Frankfurter Allgemeine Zeitung', 'François Englert', 'Frederick Reines', 'Frits Zernike', 'Fundamental science', 'Gabriel Lippmann', 'Georg Bednorz', 'George E. Smith', 'George Paget Thomson', 'George Smith (chemist)', 'George Smoot', 'Georges Charpak', ""Gerard 't Hooft"", 'Gerd Binnig', 'Given name', 'Google Scholar', 'Gregory Winter', 'Guelph', 'Guglielmo Marconi', 'Gustaf Dalén', 'Gustav Ludwig Hertz', 'Gérard Mourou', 'Hannes Alfvén', 'Hans Bethe', 'Hans Georg Dehmelt', 'Heike Kamerlingh Onnes', 'Heinrich Rohrer', 'Hendrik Lorentz', 'Henri Becquerel', 'Henry Way Kendall', 'Herbert Kroemer', 'Hideki Yukawa', 'Hiroshi Amano', 'Horst Ludwig Störmer', 'Hugh David Politzer', 'Humber College', 'IEEE Journal of Quantum Electronics', 'Igor Tamm', 'Ilya Frank', 'Integrated Authority File', 'International Standard Book Number', 'International Standard Name Identifier', 'International Standard Serial Number', 'Isamu Akasaki', 'Isidor Isaac Rabi', 'Ivar Giaever', 'J. Hans D. Jensen', 'J. J. Thomson', 'J. Michael Kosterlitz', 'Jack Kilby', 'Jack Steinberger', 'James Chadwick', 'James Cronin', 'James Franck', 'James P. Allison', 'James Rainwater', 'Jean Baptiste Perrin', 'Jerome Isaac Friedman', 'Jim Peebles', 'Johannes Diderik van der Waals', 'Johannes Stark', 'John Bardeen', 'John C. Mather', 'John Cockcroft', 'John Hasbrouck Van Vleck', 'John L. Hall', 'John Robert Schrieffer', 'John William Strutt, 3rd Baron Rayleigh', 'Joseph Hooton Taylor Jr.', 'Journal of the Optical Society of America B', 'Julian Schwinger', 'K. Alex Müller', 'Kai Siegbahn', 'Karl Ferdinand Braun', 'Kenneth G. Wilson', 'Kip Thorne', 'Klaus von Klitzing', 'Konstantin Novoselov', 'Laboratory for Laser Energetics', 'Laser eye surgery', 'Laser machining', 'Laser science', 'Laser surgery', 'Lasers', 'Lawrence Bragg', 'Lawrence Livermore National Laboratory', 'Leo Esaki', 'Leon Cooper', 'Leon M. Lederman', 'Lev Landau', 'List of Nobel laureates', 'List of Nobel laureates by country', 'List of Nobel laureates in Physics', 'List of female Nobel laureates', 'Louis Néel', 'Louis de Broglie', 'Luis Walter Alvarez', 'Makoto Kobayashi (physicist)', 'Manne Siegbahn', 'Maria Goeppert Mayer', 'Marie Curie', 'Martin Lewis Perl', 'Martin Ryle', 'Martinus J. G. Veltman', 'Masatoshi Koshiba', 'Master of Science', 'Max Born', 'Max Planck', 'Max von Laue', 'McMaster University', 'Melvin Schwartz', 'Michel Mayor', 'Mid-infrared', 'Murray Gell-Mann', 'Nadia Murad', 'National Research Council of Canada', 'Nevill Francis Mott', 'Nicolaas Bloembergen', 'Niels Bohr', 'Nikolay Basov', 'Nobel Foundation', 'Nobel Memorial Prize in Economic Sciences', 'Nobel Peace Prize', 'Nobel Prize', 'Nobel Prize in Chemistry', 'Nobel Prize in Literature', 'Nobel Prize in Physics', 'Nobel Prize in Physiology or Medicine', 'Nonlinear optics', 'Norman Foster Ramsey Jr.', 'ORCID', 'OSA Fellow', 'Olga Tokarczuk', 'Ontario', 'Optical Physics', 'Optical table', 'Optical tweezers', 'Optics', 'Optics Communications', 'Optics Letters', 'Ottawa Citizen', 'Otto Stern', 'Owen Chamberlain', 'Owen Willans Richardson', 'Patrick Blackett', 'Paul Corkum', 'Paul Dirac', 'Paul Romer', 'Pavel Cherenkov', 'Percy Williams Bridgman', 'Petawatt', 'Peter Grünberg', 'Peter Higgs', 'Philip Warren Anderson', 'Philipp Lenard', 'Physics', 'Pierre Curie', 'Pierre-Gilles de Gennes', 'Pieter Zeeman', 'Polykarp Kusch', 'Presbyopia', 'Princeton University', 'Professor', 'Pulsed lasers', 'Pyotr Kapitsa', 'Rainer Weiss', 'Raman scattering', 'Raymond Davis Jr.', 'Research Corporation', 'Research Corporation for Science Advancement', 'Riccardo Giacconi', 'Richard E. Taylor', 'Richard Feynman', 'Robert Andrews Millikan', 'Robert B. Laughlin', 'Robert Coleman Richardson', 'Robert Hofstadter', 'Robert Woodrow Wilson', 'Roy J. Glauber', 'Rudolf Mössbauer', 'Russell Alan Hulse', 'Samuel C. C. Ting', 'Saul Perlmutter', 'Scientific American', 'Self-focusing', 'Semantic Scholar', 'Serge Haroche', 'Sheldon Lee Glashow', ""Shin'ichirō Tomonaga"", 'Shuji Nakamura', 'Simon van der Meer', 'Sloan Research Fellowship', 'Steven Chu', 'Steven Weinberg', 'Subrahmanyan Chandrasekhar', 'Takaaki Kajita', 'Tasuku Honjo', 'Terawatt', 'The Chronicle of Higher Education', 'The Globe and Mail', 'The Guardian', 'The Institute of Optics', 'The Optical Society', 'Theodor W. Hänsch', 'Thesis', 'Timeline of women in science', 'Toshihide Maskawa', 'Tsung-Dao Lee', 'Ultrafast laser', 'Ultrafast optics', 'Ultraviolet', 'United Church of Canada', 'University of Rochester', 'University of Toronto', 'University of Waterloo', 'Val Logsdon Fitch', 'Victor Francis Hess', 'Virtual International Authority File', 'Vitaly Ginzburg', 'Walter Houser Brattain', 'Walther Bothe', 'Waterloo Region Record', 'Wavelength', 'Werner Heisenberg', 'Wilhelm Röntgen', 'Wilhelm Wien', 'Willard Boyle', 'William Alfred Fowler', 'William Daniel Phillips', 'William Henry Bragg', 'William Nordhaus', 'William Shockley', 'Willis Lamb', 'Wolfgang Ketterle', 'Wolfgang Paul', 'Wolfgang Pauli', 'WorldCat Identities', 'Yang Chen-Ning', 'Yoichiro Nambu', 'Zhores Alferov']",220,58632444,375,"['Category:1959 births', 'Category:20th-century Canadian scientists', 'Category:20th-century physicists', 'Category:20th-century women scientists', 'Category:21st-century Canadian scientists', 'Category:21st-century physicists', 'Category:21st-century women scientists', 'Category:BBC 100 Women', 'Category:Canadian Nobel laureates', 'Category:Canadian physicists', 'Category:Canadian women physicists', 'Category:Fellows of the Optical Society', 'Category:Laser researchers', 'Category:Living people', 'Category:McMaster University alumni', 'Category:Nobel laureates in Physics', 'Category:People from Guelph', 'Category:Presidents of the Optical Society', 'Category:Scientists from Ontario', 'Category:Sloan Research Fellows', 'Category:University of Rochester alumni', 'Category:University of Waterloo faculty', 'Category:Women Nobel laureates']"
Nathan Ransom Leonard,{'fetchwikidata': 'ALL'},1007,"['Amos Dean', 'Amos Noyes Currier', 'Bruce Harreld', 'Charles Ashmead Schaeffer', 'Chester Arthur Phillips', 'Christian W. Slagle', 'David J. Skorton', 'Duane C. Spriestersbach', 'Eugene Allen Gilmore', 'Gary Fethke', 'George Edwin MacLean', 'George Thacher', 'Howard Bowen', 'Hunter R. Rawlings III', 'James Black (educator)', 'James O. Freedman', 'Jean Robillard', 'John Gabbert Bowman', 'Josiah Little Pickard', 'List of University of Iowa people', 'Mary Sue Coleman', 'Oliver M. Spencer', 'Peter E. Nathan', 'Richard D. Remington', 'Sally Mason', 'Silas Totten', 'Thomas Huston Macbride', 'University of Iowa', 'Virgil Melvin Hancher', 'Walter Albert Jessup', 'Willard L. Boyd']",9,31135295,1,"['Category:1832 births', 'Category:1917 deaths', 'Category:American academic administrator stubs', 'Category:Iowa people stubs', 'Category:Presidents of the University of Iowa']"
